fecha,clae2,w_median
2019-12-01,80,50252
2019-12-01,81,35238
2019-12-01,82,44274
2019-12-01,85,37439
2019-12-01,86,66110
2019-12-01,87,50929
2019-12-01,88,50737
2019-12-01,90,31381
2019-12-01,91,52099
2019-12-01,92,61734
2019-12-01,93,42925
2019-12-01,94,66902
2019-12-01,95,55250
2019-12-01,96,36795
2019-12-01,999,61078
2020-01-01,1,27518
2020-01-01,2,24446
2020-01-01,3,65792
2020-01-01,5,-99
2020-01-01,6,177609
2020-01-01,7,181262
2020-01-01,8,55943
2020-01-01,9,150601
2020-01-01,10,50879
2020-01-01,11,61390
2020-01-01,12,79619
2020-01-01,13,37302
2020-01-01,14,39282
2020-01-01,15,43025
2020-01-01,16,29048
2020-01-01,17,57300
2020-01-01,18,44861
2020-01-01,19,115205
2020-01-01,20,69616
2020-01-01,21,100410
2020-01-01,22,50688
2020-01-01,23,54415
2020-01-01,24,69858
2020-01-01,25,39014
2020-01-01,26,47549
2020-01-01,27,46931
2020-01-01,28,45529
2020-01-01,29,71028
2020-01-01,30,40740
2020-01-01,31,38154
2020-01-01,32,45000
2020-01-01,33,48764
2020-01-01,35,105392
2020-01-01,36,65702
2020-01-01,37,51119
2020-01-01,38,72718
2020-01-01,39,59477
2020-01-01,41,26082
2020-01-01,42,53274
2020-01-01,43,37214
2020-01-01,45,45000
2020-01-01,46,47225
2020-01-01,47,43664
2020-01-01,49,56456
2020-01-01,50,103401
2020-01-01,51,114043
2020-01-01,52,53575
2020-01-01,53,57762
2020-01-01,55,39108
2020-01-01,56,21121
2020-01-01,58,50679
2020-01-01,59,41520
2020-01-01,60,74184
2020-01-01,61,137606
2020-01-01,62,70632
2020-01-01,63,65760
2020-01-01,64,105712
2020-01-01,65,68157
2020-01-01,66,47364
2020-01-01,68,38789
2020-01-01,69,39260
2020-01-01,70,48774
2020-01-01,71,44213
2020-01-01,72,67474
2020-01-01,73,47096
2020-01-01,74,49170
2020-01-01,75,24690
2020-01-01,77,45168
2020-01-01,78,38000
2020-01-01,79,44527
2020-01-01,80,41203
